City,Gold,Silver,Bronze
Nan-2,0,0,0
Hannover,0,0,0
Scamasaxe-34,0,0,0
Scamasaxe-2,0,0,2
Scamasaxe-3,0,2,0
Three Star Too,0,0,0
Bellatrix IX,0,0,0
Bellatrix XIII,0,0,0
Jeanette-25,0,0,0
Jeannette-18,0,0,0
Turquoise-1,0,0,1
Turquoise-3,0,0,0
Roehampton-1,4,0,0
Glisten,0,0,0
Nadine,0,1,0
Grifone,0,0,0
Twinkle,0,0,0
Myojo,0,0,0
Ducky-16,0,0,0
Ducky-4,0,0,0
Rose Pompon,0,3,0
Souriceau-38,0,0,0
Souriceau-4,0,0,0
United States-11,0,0,0
Lady C,0,2,0
Frieda,0,0,0
Marsouin-26,0,0,0
Marsouin-8,0,0,0
Persey,0,0,0
Hi-Hi,0,4,0
Atalanta Boat Club-1,2,0,0
Atalanta Boat Club-2,0,2,0
Wendehals,0,0,0
New York Athletic Club,5,0,0
Titia,0,0,0
Pimm,0,0,0
Gustel X,0,0,3
Gustl XI,0,0,0
Thailand-1,0,0,0
Pop Art,0,0,0
Barrenjoey,3,0,0
South Africa-1,0,0,0
Voloira II,0,0,0
Uzbekistan-2,0,0,0
Bremen,0,0,0
Quando Quando,0,0,0
Donar III,0,0,0
Hojwa,0,0,3
Tineke,0,0,0
Danuta,0,0,0
Maryke,0,0,0
Falcon VI,0,0,0
Thailand-2,0,0,0
Manana,0,0,0
Pandora,2,0,0
Rampage,0,0,0
Diabolo St Maurice,0,0,0
Ravel,0,0,0
Humbug V,0,0,2
Astrid III,0,0,0
Kln,0,0,0
Demi-Mondaine-15,0,0,0
Demi-Mondaine-17,0,0,0
Nokaut II,0,0,0
Almaz,0,0,0
Tulilind,0,0,0
New Zealand-2,0,0,0
Notavel,0,0,0
Galopin De La Font,0,0,0
Margaret,0,0,2
Portugal-1,0,0,0
Comanche,0,2,0
Cicely-1,1,0,0
Ma'Lindo,0,2,0
Harmony,0,0,0
Independent Rowing Club-3,0,0,2
Marie-Tim,0,0,0
Uzbekistan-1,0,0,0
Orion,0,0,0
Merope,2,0,0
Scaup,0,0,0
Legionario,0,0,0
Merope III,0,2,0
Enotria,0,0,0
Verveine-41,0,0,0
Verveine-19,0,0,0
Bohemia/Great Britain,0,0,2
Ariette-8,0,0,0
Ariette-10,0,0,0
Greenoaks Dundee,0,0,0
Fantlet-2,0,0,0
Fantlet-7,1,0,0
Maid of Lebanon,0,0,0
Danaldo,0,0,0
Lyn-2,0,5,0
Sunrise,0,1,0
Falcon IV,0,2,0
Potsdam,0,0,1
Giselle-6,0,0,0
United States-13,0,0,0
China-3,0,0,2
Ardilla,0,0,0
Greece-4,0,0,0
Windor,0,0,0
Vim III,0,0,0
Lasha,0,0,0
Hilarius,2,0,0
Hakahana,0,0,0
Glider,0,2,0
Jamaica-1,0,0,0
Squid III,0,0,0
Singapore-1,0,0,0
Mamie-4,0,0,0
C.V.A.-14,0,0,0
Singy-37,0,0,0
C.V.A.-7,0,0,0
Mamie-6,0,0,0
Singy-7,0,0,0
Hamburg,0,0,0
Mac Miche,3,0,0
Camille,1,0,0
Serbia-1,0,0,0
Cuxhaven,0,0,0
Formosa,0,0,1
Danzig,0,0,0
Salinero,0,1,0
Sjovinge,0,0,0
Brandenburg,0,0,0
Hungary-3,0,0,0
Freia-19,0,0,0
Freia-5,0,0,0
Luxembourg-1,0,0,0
Satchmo,1,0,0
Sea Dog-2,0,0,0
Mainz,0,0,0
Solos Carex,0,0,0
Dow Jones,0,0,0
Digby,0,0,1
