Team,Year,Sport,Gold,Silver,Bronze
Italy,1964,Gymnastics,1,1,1
Italy,1964,Rowing,0,5,0
Italy,1964,Shooting,1,0,0
Italy,1968,Athletics,0,0,2
Italy,1968,Boxing,0,0,1
Italy,1968,Cross Country Skiing,1,0,0
Italy,1968,Cycling,1,1,9
Italy,1968,Diving,1,1,0
Italy,1968,Fencing,0,5,1
Italy,1968,Luge,1,0,0
Italy,1968,Rowing,3,0,4
Italy,1968,Sailing,0,0,3
Italy,1968,Shooting,0,1,0
Italy,1972,Alpine Skiing,1,1,1
Italy,1972,Athletics,0,0,2
Italy,1972,Diving,1,1,1
Italy,1972,Equestrianism,1,1,4
Italy,1972,Fencing,6,0,0
Italy,1972,Shooting,1,0,1
Italy,1972,Swimming,0,1,2
Italy,1972,Weightlifting,0,0,1
Italy,1972,Wrestling,0,0,2
Italy,1976,Alpine Skiing,1,2,1
Italy,1976,Archery,0,0,1
Italy,1976,Athletics,0,1,0
Italy,1976,Cycling,0,1,0
Italy,1976,Diving,1,1,0
Italy,1976,Fencing,1,11,0
Italy,1976,Judo,0,0,1
Italy,1976,Shooting,0,0,2
Italy,1976,Water Polo,0,11,0
Italy,1980,Archery,0,0,1
Italy,1980,Athletics,3,0,4
Italy,1980,Basketball,0,12,0
Italy,1980,Boxing,1,0,0
Italy,1980,Diving,0,0,1
Italy,1980,Equestrianism,1,4,0
Italy,1980,Fencing,0,5,0
Italy,1980,Judo,1,0,0
Italy,1980,Luge,0,1,0
Italy,1980,Sailing,0,0,2
Italy,1980,Shooting,1,0,0
Italy,1980,Wrestling,1,0,0
Italy,1984,Alpine Skiing,1,0,0
Italy,1984,Athletics,3,1,3
Italy,1984,Boxing,1,2,2
Italy,1984,Cycling,4,0,0
Italy,1984,Fencing,11,1,7
Italy,1984,Judo,0,1,0
Italy,1984,Luge,1,0,0
Italy,1984,Modern Pentathlon,4,0,1
Italy,1984,Rowing,3,0,0
Italy,1984,Sailing,0,0,2
Italy,1984,Shooting,1,1,1
Italy,1984,Volleyball,0,0,12
Italy,1984,Weightlifting,1,0,0
Italy,1984,Wrestling,1,0,0
Italy,1988,Alpine Skiing,2,0,0
Italy,1988,Athletics,1,1,1
Italy,1988,Biathlon,0,0,5
Italy,1988,Boxing,1,0,0
Italy,1988,Cross Country Skiing,0,1,0
Italy,1988,Fencing,1,5,6
Italy,1988,Modern Pentathlon,0,4,0
Italy,1988,Rowing,7,0,0
Italy,1988,Swimming,0,0,1
Italy,1988,Wrestling,1,0,0
Italy,1992,Alpine Skiing,3,2,0
Italy,1992,Athletics,0,0,1
Italy,1992,Canoeing,1,0,2
Italy,1992,Cross Country Skiing,1,7,6
Italy,1992,Cycling,2,4,0
Italy,1992,Fencing,6,1,0
Italy,1992,Judo,0,1,0
Italy,1992,Modern Pentathlon,0,0,3
Italy,1992,Rowing,0,3,4
Italy,1992,Shooting,0,0,2
Italy,1992,Swimming,0,0,2
Italy,1992,Water Polo,12,0,0
Italy,1992,Wrestling,0,1,0
Italy,1994,Alpine Skiing,1,1,2
Italy,1994,Cross Country Skiing,6,2,7
Italy,1994,Luge,1,0,1
Italy,1994,Short Track Speed Skating,4,1,0
Italy,1996,Archery,0,0,3
Italy,1996,Athletics,0,2,2
Italy,1996,Canoeing,3,3,1
Italy,1996,Cycling,4,1,0
Italy,1996,Fencing,7,4,4
Italy,1996,Gymnastics,1,0,0
Italy,1996,Judo,0,1,1
Italy,1996,Rowing,2,0,0
Italy,1996,Sailing,0,0,1
Italy,1996,Shooting,2,1,2
Italy,1996,Swimming,0,0,1
Italy,1996,Volleyball,0,12,0
Italy,1996,Water Polo,0,0,13
Italy,1998,Alpine Skiing,1,1,0
Italy,1998,Biathlon,0,1,0
Italy,1998,Cross Country Skiing,0,5,5
Italy,1998,Luge,0,1,0
Italy,1998,Snowboarding,0,1,0
Italy,2000,Archery,0,3,0
Italy,2000,Athletics,0,2,0
Italy,2000,Boxing,0,0,1
Italy,2000,Canoeing,3,0,1
Italy,2000,Cycling,2,0,2
Italy,2000,Fencing,8,0,5
Italy,2000,Judo,1,0,3
Italy,2000,Rowing,4,6,2
Italy,2000,Sailing,1,1,0
Italy,2000,Shooting,0,1,1
Italy,2000,Swimming,3,1,2
Italy,2000,Volleyball,0,0,12
Italy,2002,Alpine Skiing,1,1,1
Italy,2002,Cross Country Skiing,2,5,2
Italy,2002,Luge,1,0,0
Italy,2002,Short Track Speed Skating,0,5,0
Italy,2002,Snowboarding,0,0,1
Italy,2004,Archery,1,0,0
Italy,2004,Athletics,2,0,1
Italy,2004,Basketball,0,12,0
Italy,2004,Boxing,0,0,1
Italy,2004,Canoeing,0,3,0
Italy,2004,Cycling,1,0,0
Italy,2004,Fencing,5,5,1
Italy,2004,Football,0,0,17
Italy,2004,Gymnastics,1,0,1
Italy,2004,Judo,0,0,1
Italy,2004,Rhythmic Gymnastics,0,6,0
Italy,2004,Rowing,0,0,10
Italy,2004,Sailing,0,0,1
Italy,2004,Shooting,1,2,0
Italy,2004,Swimming,0,1,6
Italy,2004,Volleyball,0,12,0
Italy,2004,Water Polo,13,0,0
Italy,2006,Cross Country Skiing,5,0,5
Italy,2006,Luge,1,0,0
Italy,2006,Short Track Speed Skating,0,0,4
Italy,2006,Speed Skating,5,0,1
Italy,2008,Archery,0,3,0
Italy,2008,Athletics,1,0,1
Italy,2008,Boxing,1,1,1
Italy,2008,Canoeing,0,1,2
Italy,2008,Cycling,0,0,1
Italy,2008,Fencing,2,0,14
Italy,2008,Judo,1,0,0
Italy,2008,Rowing,0,4,0
Italy,2008,Sailing,0,1,1
Italy,2008,Shooting,1,2,0
Italy,2008,Swimming,1,1,0
Italy,2008,Taekwondo,0,1,0
Italy,2008,Wrestling,1,0,0
Italy,2010,Alpine Skiing,1,0,0
Italy,2010,Cross Country Skiing,0,1,0
Italy,2010,Luge,0,0,1
Italy,2010,Nordic Combined,0,0,1
Italy,2010,Short Track Speed Skating,0,0,1
Italy,2012,Archery,3,0,0
Italy,2012,Athletics,0,0,1
Italy,2012,Boxing,0,2,1
Italy,2012,Canoeing,1,0,0
Italy,2012,Cycling,0,0,1
Italy,2012,Fencing,9,2,5
Italy,2012,Gymnastics,0,0,1
Italy,2012,Judo,0,0,1
Italy,2012,Rhythmic Gymnastics,0,0,6
Italy,2012,Rowing,0,2,0
Italy,2012,Shooting,2,3,0
Italy,2012,Swimming,0,0,1
Italy,2012,Taekwondo,1,0,1
Italy,2012,Volleyball,0,0,12
Italy,2012,Water Polo,0,13,0
Italy,2014,Alpine Skiing,0,1,1
Italy,2014,Biathlon,0,0,4
Italy,2014,Figure Skating,0,0,1
Italy,2014,Luge,0,0,1
Italy,2014,Short Track Speed Skating,0,1,5
Italy,2016,Cycling,1,0,1
Italy,2016,Diving,0,2,1
Italy,2016,Fencing,1,6,0
Italy,2016,Judo,1,1,0
Italy,2016,Rowing,0,0,6
Italy,2016,Shooting,4,3,0
Italy,2016,Swimming,1,1,2
Italy,2016,Volleyball,0,12,0
Italy,2016,Water Polo,0,13,13
Italy,2016,Wrestling,0,0,1
Italy-1,1956,Bobsleigh,2,0,0
Italy-1,1964,Bobsleigh,0,0,2
Italy-1,1964,Luge,0,0,2
Italy-1,1968,Bobsleigh,6,0,0
Italy-1,1972,Bobsleigh,0,4,0
Italy-1,1972,Luge,2,0,0
Italy-1,1980,Luge,0,2,0
Italy-1,1992,Luge,0,0,2
Italy-1,1994,Bobsleigh,0,0,2
Italy-1,1994,Luge,2,0,0
Italy-1,1998,Bobsleigh,2,0,0
Italy-1,2002,Figure Skating,0,0,2
Italy-1,2006,Bobsleigh,0,0,2
Italy-1,2006,Luge,0,0,2
Italy-1,2016,Beach Volleyball,0,2,0
Italy-2,1956,Bobsleigh,0,6,0
Italy-2,1964,Bobsleigh,0,2,4
Italy-2,1994,Luge,0,2,0
Jamaica,1948,Athletics,1,2,0
Jamaica,1952,Athletics,5,3,0
Jamaica,1968,Athletics,0,1,0
Jamaica,1972,Athletics,0,0,1
Jamaica,1976,Athletics,1,1,0
Jamaica,1980,Athletics,0,0,2
Jamaica,1980,Cycling,0,0,1
Jamaica,1984,Athletics,0,5,2
Jamaica,1988,Athletics,0,7,0
Jamaica,1992,Athletics,0,3,1
Jamaica,1996,Athletics,1,3,12
Jamaica,2000,Athletics,0,20,3
Jamaica,2004,Athletics,6,1,6
Jamaica,2008,Athletics,5,3,6
Jamaica,2012,Athletics,8,9,8
Jamaica,2016,Athletics,11,17,2
Japan,1920,Tennis,0,3,0
Japan,1924,Wrestling,0,0,1
Japan,1928,Athletics,1,1,0
Japan,1928,Swimming,1,5,1
Japan,1932,Athletics,1,1,2
Japan,1932,Equestrianism,1,0,0
Japan,1932,Hockey,0,11,0
Japan,1932,Swimming,8,5,2
Japan,1936,Art Competitions,0,0,2
Japan,1936,Athletics,2,2,3
Japan,1936,Swimming,7,2,5
Japan,1952,Gymnastics,0,2,2
Japan,1952,Swimming,0,6,0
Japan,1952,Wrestling,1,1,0
Japan,1956,Alpine Skiing,0,1,0
Japan,1956,Gymnastics,1,10,5
Japan,1956,Swimming,1,4,0
Japan,1956,Wrestling,2,1,0
Japan,1960,Boxing,0,0,1
Japan,1960,Gymnastics,9,2,3
Japan,1960,Shooting,0,0,1
Japan,1960,Swimming,0,6,7
Japan,1960,Weightlifting,0,1,0
Japan,1960,Wrestling,0,1,0
Japan,1964,Athletics,0,0,1
Japan,1964,Boxing,1,0,0
Japan,1964,Gymnastics,10,4,6
Japan,1964,Judo,3,1,0
Japan,1964,Shooting,0,0,1
Japan,1964,Swimming,0,0,5
Japan,1964,Volleyball,12,0,9
Japan,1964,Weightlifting,1,0,2
Japan,1964,Wrestling,5,0,1
Japan,1968,Athletics,0,1,0
Japan,1968,Boxing,0,0,1
Japan,1968,Football,0,0,16
Japan,1968,Gymnastics,11,2,4
Japan,1968,Volleyball,0,20,0
Japan,1968,Weightlifting,1,1,1
Japan,1968,Wrestling,4,1,0
Japan,1972,Gymnastics,10,5,6
Japan,1972,Judo,3,0,1
Japan,1972,Ski Jumping,1,1,1
Japan,1972,Swimming,2,0,1
Japan,1972,Volleyball,12,12,0
Japan,1972,Wrestling,2,2,0
Japan,1976,Archery,0,1,0
Japan,1976,Gymnastics,8,4,3
Japan,1976,Judo,3,1,1
Japan,1976,Volleyball,12,0,0
Japan,1976,Weightlifting,0,0,2
Japan,1976,Wrestling,2,0,4
Japan,1980,Ski Jumping,0,1,0
Japan,1984,Archery,0,0,1
Japan,1984,Cycling,0,0,1
Japan,1984,Gymnastics,3,3,8
Japan,1984,Judo,4,0,1
Japan,1984,Shooting,1,0,0
Japan,1984,Speed Skating,0,1,0
Japan,1984,Synchronized Swimming,0,0,3
Japan,1984,Volleyball,0,0,12
Japan,1984,Weightlifting,0,0,3
Japan,1984,Wrestling,2,5,2
Japan,1988,Gymnastics,0,0,7
Japan,1988,Judo,1,0,3
Japan,1988,Shooting,0,1,0
Japan,1988,Speed Skating,0,0,1
Japan,1988,Swimming,1,0,0
Japan,1988,Synchronized Swimming,0,0,3
Japan,1988,Wrestling,2,2,0
Japan,1992,Athletics,0,2,0
Japan,1992,Baseball,0,0,20
Japan,1992,Figure Skating,0,1,0
Japan,1992,Gymnastics,0,1,7
Japan,1992,Judo,2,4,4
Japan,1992,Nordic Combined,3,0,0
Japan,1992,Shooting,0,1,1
Japan,1992,Short Track Speed Skating,0,0,4
Japan,1992,Speed Skating,0,1,3
Japan,1992,Swimming,1,0,0
Japan,1992,Synchronized Swimming,0,0,3
Japan,1992,Wrestling,0,0,1
Japan,1994,Nordic Combined,3,1,0
Japan,1994,Ski Jumping,0,4,0
Japan,1994,Speed Skating,0,0,2
Japan,1996,Athletics,0,0,1
Japan,1996,Baseball,0,20,0
Japan,1996,Cycling,0,0,1
Japan,1996,Judo,3,4,1
Japan,1996,Sailing,0,2,0
Japan,1996,Synchronized Swimming,0,0,9
Japan,1996,Wrestling,0,0,1
Japan,1998,Freestyle Skiing,1,0,0
Japan,1998,Short Track Speed Skating,1,0,1
Japan,1998,Ski Jumping,5,1,1
Japan,1998,Speed Skating,1,0,2
Japan,2000,Athletics,1,0,0
Japan,2000,Judo,4,2,2
Japan,2000,Softball,0,15,0
Japan,2000,Swimming,0,2,5
Japan,2000,Synchronized Swimming,0,11,0
Japan,2000,Taekwondo,0,0,1
Japan,2000,Wrestling,0,1,0
Japan,2002,Freestyle Skiing,0,0,1
Japan,2002,Speed Skating,0,1,0
Japan,2004,Archery,0,1,0
Japan,2004,Athletics,2,0,0
Japan,2004,Baseball,0,0,24
Japan,2004,Cycling,0,3,0
Japan,2004,Gymnastics,6,1,2
Japan,2004,Judo,8,2,0
Japan,2004,Sailing,0,0,2
Japan,2004,Softball,0,0,14
Japan,2004,Swimming,3,1,7
Japan,2004,Synchronized Swimming,0,11,0
Japan,2004,Wrestling,2,1,3
Japan,2006,Figure Skating,1,0,0
Japan,2008,Athletics,0,4,0
Japan,2008,Cycling,0,0,1
Japan,2008,Fencing,0,1,0
Japan,2008,Gymnastics,0,7,0
Japan,2008,Judo,4,1,2
Japan,2008,Softball,15,0,0
Japan,2008,Swimming,2,0,6
Japan,2008,Synchronized Swimming,0,0,2
Japan,2008,Wrestling,2,2,2
Japan,2010,Figure Skating,0,1,1
Japan,2010,Speed Skating,0,4,1
Japan,2012,Archery,0,1,3
Japan,2012,Athletics,0,0,1
Japan,2012,Boxing,1,0,1
Japan,2012,Fencing,0,4,0
Japan,2012,Football,0,18,0
Japan,2012,Gymnastics,1,6,0
Japan,2012,Judo,1,3,3
Japan,2012,Swimming,0,6,11
Japan,2012,Table Tennis,0,3,0
Japan,2012,Volleyball,0,0,12
Japan,2012,Weightlifting,0,1,0
Japan,2012,Wrestling,4,0,2
Japan,2014,Figure Skating,1,0,0
Japan,2014,Freestyle Skiing,0,0,1
Japan,2014,Nordic Combined,0,1,0
Japan,2014,Ski Jumping,0,1,4
Japan,2014,Snowboarding,0,2,1
Japan,2016,Athletics,0,4,1
Japan,2016,Badminton,2,0,1
Japan,2016,Canoeing,0,0,1
Japan,2016,Gymnastics,6,0,1
Japan,2016,Judo,3,1,8
Japan,2016,Swimming,2,2,6
Japan,2016,Synchronized Swimming,0,0,10
Japan,2016,Table Tennis,0,3,4
Japan,2016,Tennis,0,0,1
Japan,2016,Weightlifting,0,0,1
Japan,2016,Wrestling,4,3,0
Japan-1,2012,Badminton,0,2,0
Jest,1956,Sailing,2,0,0
Jo,1920,Sailing,3,0,0
Jordan,2016,Taekwondo,1,0,0
Joy,1932,Sailing,0,2,0
Jupiter,1932,Sailing,2,0,0
K Division Metropolitan Police Team-3,1908,Tug-Of-War,0,0,8
Kathleen,1956,Sailing,2,0,0
Kazakhstan,1994,Cross Country Skiing,1,2,0
Kazakhstan,1996,Boxing,1,1,2
Kazakhstan,1996,Modern Pentathlon,1,0,0
Kazakhstan,1996,Shooting,0,2,1
Kazakhstan,1996,Weightlifting,0,1,0
Kazakhstan,1996,Wrestling,1,0,1
Kazakhstan,1998,Cross Country Skiing,0,0,1
Kazakhstan,1998,Speed Skating,0,0,1
Kazakhstan,2000,Athletics,1,0,0
Kazakhstan,2000,Boxing,2,2,0
Kazakhstan,2000,Cycling,0,1,0
Kazakhstan,2000,Wrestling,0,1,0
Kazakhstan,2004,Athletics,0,0,1
Kazakhstan,2004,Boxing,1,1,1
Kazakhstan,2004,Weightlifting,0,1,0
Kazakhstan,2004,Wrestling,0,2,1
Kazakhstan,2008,Boxing,1,0,1
Kazakhstan,2008,Judo,0,1,0
Kazakhstan,2008,Taekwondo,0,0,1
Kazakhstan,2008,Weightlifting,1,2,1
Kazakhstan,2008,Wrestling,0,1,4
Kazakhstan,2010,Biathlon,0,1,0
Kazakhstan,2012,Athletics,1,0,0
Kazakhstan,2012,Boxing,1,1,2
Kazakhstan,2012,Cycling,1,0,0
Kazakhstan,2012,Weightlifting,4,0,0
Kazakhstan,2012,Wrestling,0,0,3
Kazakhstan,2014,Figure Skating,0,0,1
Kazakhstan,2016,Athletics,0,0,1
Kazakhstan,2016,Boxing,1,2,2
Kazakhstan,2016,Judo,0,1,1
Kazakhstan,2016,Swimming,1,0,0
Kazakhstan,2016,Weightlifting,1,1,4
Kazakhstan,2016,Wrestling,0,1,2
Kenya,1964,Athletics,0,0,1
Kenya,1968,Athletics,3,7,1
Kenya,1968,Boxing,0,0,1
Kenya,1972,Athletics,5,2,2
Kenya,1972,Boxing,0,1,2
Kenya,1984,Athletics,1,0,1
Kenya,1984,Boxing,0,0,1
Kenya,1988,Athletics,4,2,1
Kenya,1988,Boxing,1,0,1
Kenya,1992,Athletics,2,4,2
Kenya,1996,Athletics,1,4,3
Kenya,2000,Athletics,2,3,2
Kenya,2004,Athletics,1,4,2
Kenya,2008,Athletics,6,4,5
Kenya,2012,Athletics,2,4,5
Kenya,2016,Athletics,6,6,1
Kerstin-1,1912,Sailing,0,0,3
Kitty-1,1912,Sailing,8,0,0
Kosovo,2016,Judo,1,0,0
Kristiania Roklub-1,1912,Rowing,0,0,5
Kullan,1920,Sailing,3,0,0
Kurush II,1948,Sailing,0,2,0
Kuwait,2000,Shooting,0,0,1
Kuwait,2012,Shooting,0,0,1
Kyrgyzstan,2000,Judo,0,0,1
Kyrgyzstan,2008,Wrestling,0,1,1
L'Aile VI,1928,Sailing,6,0,0
Lady C,1964,Sailing,0,2,0
Lalage,1936,Sailing,5,0,0
"Large boat, Central Naval Prep School ""Poros""-1",1906,Rowing,17,0,0
Latvia,1932,Athletics,0,1,0
Latvia,1936,Athletics,0,0,1
Latvia,1936,Wrestling,0,1,0
Latvia,1992,Canoeing,0,1,0
Latvia,1992,Cycling,0,0,1
Latvia,1992,Shooting,0,1,0
Latvia,1996,Canoeing,0,1,0
Latvia,2000,Athletics,0,1,0
Latvia,2000,Gymnastics,1,0,0
Latvia,2000,Judo,0,0,1
Latvia,2004,Athletics,0,1,0
Latvia,2004,Gymnastics,0,1,0
Latvia,2004,Modern Pentathlon,0,1,0
Latvia,2004,Weightlifting,0,1,0
Latvia,2006,Luge,0,0,1
Latvia,2008,Athletics,0,1,0
Latvia,2008,Cycling,1,0,0
Latvia,2008,Weightlifting,0,0,1
Latvia,2010,Skeleton,0,1,0
Latvia,2012,Cycling,1,0,0
Latvia,2014,Luge,0,0,4
Latvia,2014,Skeleton,0,1,0
Latvia-1,2010,Luge,0,2,0
Latvia-1,2012,Beach Volleyball,0,0,2
Latvia-1,2014,Bobsleigh,0,4,0
Latvia-1,2014,Luge,0,0,2
Laurea-1,1900,Sailing,0,0,1
Leander Club #1-1,1908,Rowing,2,0,0
Leander Club #2-2,1908,Rowing,0,2,0
Leander Club-1,1908,Rowing,9,0,0
Leander Club-1,1912,Rowing,9,0,0
Leander Club-2,1908,Rowing,0,4,0
Lebanon,1952,Wrestling,0,1,1
Lebanon,1972,Weightlifting,0,1,0
Lebanon,1980,Wrestling,0,0,1
Lerina,1900,Sailing,3,3,0
Libellule de Paris,1900,Water Polo,0,0,7
Liechtenstein,1976,Alpine Skiing,0,0,2
Liechtenstein,1980,Alpine Skiing,2,2,0
Liechtenstein,1984,Alpine Skiing,0,0,2
Liechtenstein,1988,Alpine Skiing,0,0,1
"Life boat naval ship ""Spetsai""-1",1906,Rowing,0,7,0
Lithuania,1992,Athletics,1,0,0
Lithuania,1992,Basketball,0,0,12
Lithuania,1996,Basketball,0,0,11
Lithuania,2000,Athletics,1,0,0
Lithuania,2000,Basketball,0,0,12
Lithuania,2000,Cycling,0,0,1
Lithuania,2000,Rowing,0,0,2
Lithuania,2000,Shooting,1,0,0
Lithuania,2004,Athletics,1,1,0
Lithuania,2004,Modern Pentathlon,0,1,0
Lithuania,2008,Athletics,0,0,1
Lithuania,2008,Modern Pentathlon,0,1,1
Lithuania,2008,Sailing,0,1,0
Lithuania,2008,Wrestling,0,0,1
Lithuania,2012,Boxing,0,0,1
Lithuania,2012,Canoeing,0,1,0
Lithuania,2012,Modern Pentathlon,1,0,0
Lithuania,2012,Swimming,1,0,0
Lithuania,2012,Wrestling,0,0,1
Lithuania,2016,Canoeing,0,0,2
Lithuania,2016,Rowing,0,2,2
Lithuania,2016,Weightlifting,0,0,1
Liverpool Police Team-2,1908,Tug-Of-War,0,8,0
Llanoria,1948,Sailing,5,0,0
Llanoria,1952,Sailing,6,0,0
London City Police-1,1908,Tug-Of-War,8,0,0
Lucky Girl-1,1912,Sailing,0,0,5
Ludwigshafener Ruder Verein-1,1900,Rowing,0,0,5
Ludwigshafener Ruderverein,1912,Rowing,5,0,0
Lully II,1936,Sailing,0,5,0
Luxembourg,1900,Athletics,1,0,0
Luxembourg,1920,Weightlifting,0,1,0
Luxembourg,1924,Art Competitions,1,1,0
Luxembourg,1928,Art Competitions,1,0,0
Luxembourg,1952,Athletics,1,0,0
Luxembourg,1992,Alpine Skiing,0,2,0
Lyn-2,1920,Sailing,0,5,0
Ma'Lindo,1960,Sailing,0,2,0
Mac Miche,1912,Sailing,3,0,0
Macedonia,2000,Wrestling,0,0,1
Macky VI,1960,Sailing,0,0,3
Magda IX,1912,Sailing,10,0,0
Magdalen College Boat Club-1,1908,Rowing,4,0,0
Malaysia,1996,Badminton,0,0,1
Malaysia,2008,Badminton,0,1,0
Malaysia,2012,Badminton,0,1,0
Malaysia,2012,Diving,0,0,1
Malaysia,2016,Badminton,0,5,0
Malaysia,2016,Cycling,0,0,1
Malaysia,2016,Diving,0,2,0
Malaysia-1,1996,Badminton,0,2,0
Malaysia-2,1992,Badminton,0,0,2
Margaret,1948,Sailing,0,0,2
"Marinai della nave da guerra ""Varese""",1906,Rowing,7,0,17
Marmi II-1,1920,Sailing,0,3,0
Martha-1,1900,Sailing,0,4,4
Mascotte,1900,Sailing,0,3,0
Mauritius,2008,Boxing,0,0,1
May Be,1936,Sailing,0,0,5
Merope,1952,Sailing,2,0,0
Merope III,1956,Sailing,0,2,0
Mexico,1932,Boxing,0,1,0
Mexico,1932,Shooting,0,1,0
Mexico,1936,Basketball,0,0,11
Mexico,1936,Boxing,0,0,1
Mexico,1936,Polo,0,0,4
Mexico,1948,Diving,0,0,1
Mexico,1948,Equestrianism,4,1,3
Mexico,1952,Diving,0,1,0
Mexico,1956,Diving,1,0,1
Mexico,1960,Diving,0,0,1
Mexico,1964,Boxing,0,0,1
Mexico,1968,Athletics,0,1,0
Mexico,1968,Boxing,2,0,2
Mexico,1968,Diving,0,1,0
Mexico,1968,Fencing,0,1,0
Mexico,1968,Swimming,1,0,1
Mexico,1972,Boxing,0,1,0
Mexico,1976,Athletics,1,0,0
Mexico,1976,Boxing,0,0,1
Mexico,1980,Diving,0,1,0
Mexico,1980,Equestrianism,0,0,9
Mexico,1984,Athletics,2,1,0
Mexico,1984,Boxing,0,1,0
Mexico,1984,Cycling,0,0,1
Mexico,1984,Wrestling,0,1,0
Mexico,1988,Boxing,0,0,1
Mexico,1988,Diving,0,0,1
Mexico,1992,Athletics,0,1,0
Mexico,1996,Athletics,0,0,1
Mexico,2000,Athletics,0,1,1
Mexico,2000,Boxing,0,0,1
Mexico,2000,Diving,0,1,0
Mexico,2000,Taekwondo,0,0,1
Mexico,2000,Weightlifting,1,0,0
Mexico,2004,Athletics,0,1,0
Mexico,2004,Cycling,0,1,0
Mexico,2004,Taekwondo,0,1,1
Mexico,2008,Diving,0,0,2
Mexico,2008,Taekwondo,2,0,0
Mexico,2012,Archery,0,1,1
Mexico,2012,Diving,0,4,1
Mexico,2012,Football,16,0,0
Mexico,2012,Taekwondo,0,0,1
Mexico,2016,Athletics,0,1,0
Mexico,2016,Boxing,0,0,1
Mexico,2016,Diving,0,1,0
Mexico,2016,Modern Pentathlon,0,0,1
Mexico,2016,Taekwondo,0,1,0
Mignon-3,1900,Sailing,0,0,1
Milwaukee Athletic Club-1,1904,Tug-Of-War,5,0,0
Minerva Amsterdam,1900,Rowing,3,5,9
Minotaur,1960,Sailing,3,0,0
Missouri Athletic Club-3,1904,Swimming,0,0,4
Missouri Athletic Club-3,1904,Water Polo,0,0,7
Mohawk Indians-2,1904,Lacrosse,0,0,12
Moldova,1996,Canoeing,0,2,0
Moldova,1996,Wrestling,0,0,1
Moldova,2000,Boxing,0,0,1
Moldova,2000,Shooting,0,1,0
Moldova,2008,Boxing,0,0,1
Moldova,2012,Weightlifting,0,0,2
Monaco,1924,Art Competitions,0,0,1
Mongolia,1968,Wrestling,0,1,3
Mongolia,1972,Wrestling,0,1,0
Mongolia,1976,Wrestling,0,1,0
Mongolia,1980,Judo,0,1,1
Mongolia,1980,Wrestling,0,1,1
Mongolia,1988,Boxing,0,0,1
Mongolia,1992,Boxing,0,0,1
Mongolia,1992,Shooting,0,0,1
Mongolia,1996,Judo,0,0,1
Mongolia,2004,Judo,0,0,1
Mongolia,2008,Boxing,1,1,0
Mongolia,2008,Judo,1,0,0
Mongolia,2008,Shooting,0,1,0
Mongolia,2012,Boxing,0,1,1
Mongolia,2012,Judo,0,1,1
Mongolia,2012,Wrestling,0,0,1
Mongolia,2016,Boxing,0,0,1
Mongolia,2016,Judo,0,1,0
Montenegro,2012,Handball,0,14,0
Morocco,1960,Athletics,0,1,0
Morocco,1984,Athletics,2,0,0
Morocco,1988,Athletics,1,0,1
Morocco,1988,Boxing,0,0,1
Morocco,1992,Athletics,1,1,0
Morocco,1992,Boxing,0,0,1
Morocco,1996,Athletics,0,0,2
Morocco,2000,Athletics,0,1,3
Morocco,2000,Boxing,0,0,1
Morocco,2004,Athletics,2,1,0
Morocco,2008,Athletics,0,1,1
Morocco,2012,Athletics,0,0,1
Morocco,2016,Boxing,0,0,1
Moseley Wanderers,1900,Rugby,0,15,0
Mosk II,1920,Sailing,7,0,0
Mouchette-2,1908,Sailing,0,10,0
Mound City Rowing Club-2,1904,Rowing,0,4,0
Mozambique,1996,Athletics,0,0,1
Mozambique,2000,Athletics,1,0,0
Mutafo,1964,Sailing,0,3,0
Nadine,2008,Equestrianism,0,1,0
Namibia,1992,Athletics,0,2,0
Namibia,1996,Athletics,0,2,0
Namoussa,1924,Sailing,0,0,5
Nepal,1924,Alpinism,1,0,0
Netherlands,1900,Shooting,0,0,5
Netherlands,1900,Swimming,0,0,1
Netherlands,1906,Fencing,0,1,5
Netherlands,1908,Football,0,0,12
Netherlands,1912,Fencing,0,0,11
Netherlands,1912,Football,0,0,15
Netherlands,1920,Archery,8,0,0
Netherlands,1920,Cycling,1,0,3
Netherlands,1920,Fencing,0,0,8
Netherlands,1920,Football,0,0,14
Netherlands,1920,Tug-Of-War,0,8,0
Netherlands,1924,Art Competitions,0,0,1
Netherlands,1924,Athletics,0,0,4
Netherlands,1924,Cycling,1,1,2
Netherlands,1924,Equestrianism,5,0,0
Netherlands,1924,Fencing,0,0,6
Netherlands,1924,Rowing,2,0,0
Netherlands,1924,Tennis,0,0,2
Netherlands,1928,Art Competitions,2,1,2
Netherlands,1928,Athletics,0,1,0
Netherlands,1928,Boxing,1,0,1
Netherlands,1928,Cycling,2,7,0
Netherlands,1928,Equestrianism,4,1,3
Netherlands,1928,Gymnastics,10,0,0
Netherlands,1928,Hockey,0,11,0
Netherlands,1928,Swimming,1,2,0
Netherlands,1928,Weightlifting,0,0,2
Netherlands,1932,Art Competitions,0,0,1
Netherlands,1932,Cycling,1,1,0
Netherlands,1932,Equestrianism,1,3,0
Netherlands,1932,Sailing,0,1,0
Netherlands,1932,Swimming,0,5,0
Netherlands,1936,Athletics,0,0,2
Netherlands,1936,Canoeing,0,0,5
Netherlands,1936,Cycling,1,3,0
Netherlands,1936,Equestrianism,0,3,0
Netherlands,1936,Hockey,0,0,12
Netherlands,1936,Swimming,7,1,0
Netherlands,1948,Athletics,7,0,2
Netherlands,1948,Canoeing,0,1,0
